"Date","Price","Open","High","Low","Change %"
"Jun 10, 2019","14.695","15.015","15.028","14.627","-2.13%"
"Jun 07, 2019","15.015","14.897","15.174","14.837","0.77%"
"Jun 06, 2019","14.900","14.817","15.017","14.738","0.62%"
"Jun 05, 2019","14.808","14.827","15.065","14.749","-0.11%"
"Jun 04, 2019","14.825","14.798","14.882","14.651","0.27%"
"Jun 03, 2019","14.785","14.593","14.849","14.564","1.41%"
"May 31, 2019","14.580","14.525","14.704","14.465","0.38%"
"May 30, 2019","14.525","14.420","14.595","14.348","0.69%"
"May 29, 2019","14.425","14.362","14.502","14.327","0.48%"
"May 28, 2019","14.356","14.585","14.615","14.278","-1.67%"
"May 27, 2019","14.600","14.574","14.658","14.542","0.21%"
"May 24, 2019","14.570","14.590","14.634","14.516","-0.17%"
"May 23, 2019","14.595","14.420","14.671","14.404","0.97%"
"May 22, 2019","14.455","14.445","14.518","14.378","0.00%"
"May 21, 2019","14.455","14.435","14.496","14.358","-0.14%"
"May 20, 2019","14.475","14.408","14.502","14.362","0.52%"
"May 17, 2019","14.400","14.545","14.576","14.377","-1.13%"
"May 16, 2019","14.565","14.785","14.843","14.507","-1.62%"
"May 15, 2019","14.805","14.796","14.880","14.744","0.07%"
"May 14, 2019","14.795","14.770","14.877","14.718","0.14%"
"May 13, 2019","14.775","14.784","14.831","14.603","0.00%"
"May 10, 2019","14.775","14.770","14.853","14.728","0.07%"
"May 09, 2019","14.765","14.840","14.891","14.678","-0.54%"
"May 08, 2019","14.845","14.910","14.994","14.818","-0.47%"
"May 07, 2019","14.915","14.915","14.963","14.779","-0.07%"
"May 06, 2019","14.925","14.925","14.988","14.748","-0.07%"
"May 03, 2019","14.935","14.630","15.001","14.577","2.05%"
"May 02, 2019","14.635","14.690","14.746","14.547","-0.34%"
"May 01, 2019","14.685","14.945","14.966","14.594","-1.74%"
"Apr 30, 2019","14.945","14.925","15.039","14.798","0.20%"
"Apr 29, 2019","14.915","15.078","15.094","14.866","-1.13%"
"Apr 26, 2019","15.085","14.942","15.100","14.915","0.94%"
"Apr 25, 2019","14.945","14.940","15.033","14.840","0.03%"
"Apr 24, 2019","14.940","14.830","15.012","14.775","0.78%"
"Apr 23, 2019","14.825","15.019","15.062","14.737","-1.20%"
"Apr 22, 2019","15.005","15.018","15.099","14.982","0.33%"
"Apr 19, 2019","14.955","14.955","14.955","14.955","-0.37%"
"Apr 18, 2019","15.010","14.990","15.053","14.916","0.03%"
"Apr 17, 2019","15.005","15.005","15.122","14.908","0.17%"
"Apr 16, 2019","14.980","14.985","15.044","14.866","-0.17%"
"Apr 15, 2019","15.005","14.979","15.060","14.836","0.20%"
"Apr 12, 2019","14.975","14.965","15.140","14.937","0.07%"
"Apr 11, 2019","14.965","15.245","15.280","14.898","-1.64%"
"Apr 10, 2019","15.215","15.230","15.319","15.129","-0.07%"
"Apr 09, 2019","15.225","15.255","15.349","15.196","-0.20%"
"Apr 08, 2019","15.255","15.115","15.323","15.103","0.99%"
"Apr 05, 2019","15.105","15.150","15.233","15.066","-0.33%"
"Apr 04, 2019","15.155","15.145","15.200","14.897","0.07%"
"Apr 03, 2019","15.145","15.120","15.220","15.020","0.13%"
"Apr 02, 2019","15.125","15.105","15.138","14.926","0.07%"
"Apr 01, 2019","15.115","15.130","15.235","15.038","-0.20%"
"Mar 29, 2019","15.145","14.995","15.225","14.965","0.87%"
"Mar 28, 2019","15.015","15.325","15.345","14.973","-1.83%"
"Mar 27, 2019","15.295","15.433","15.498","15.247","-0.91%"
"Mar 26, 2019","15.435","15.550","15.572","15.385","-0.71%"
"Mar 25, 2019","15.545","15.425","15.599","15.384","0.78%"
"Mar 22, 2019","15.425","15.465","15.577","15.348","-0.32%"
"Mar 21, 2019","15.475","15.480","15.661","15.365","0.13%"
"Mar 20, 2019","15.455","15.365","15.579","15.250","0.55%"
"Mar 19, 2019","15.370","15.350","15.470","15.299","-0.58%"
"Mar 18, 2019","15.460","15.295","15.460","15.212","1.13%"
"Mar 15, 2019","15.288","15.180","15.414","15.165","0.64%"
"Mar 14, 2019","15.190","15.455","15.475","15.117","-1.75%"
"Mar 13, 2019","15.460","15.440","15.560","15.411","0.06%"
"Mar 12, 2019","15.450","15.340","15.495","15.295","0.78%"
"Mar 11, 2019","15.330","15.295","15.375","15.197","0.00%"
"Mar 08, 2019","15.330","15.026","15.387","14.998","2.02%"
"Mar 07, 2019","15.026","15.076","15.128","14.974","-0.36%"
"Mar 06, 2019","15.081","15.128","15.175","15.028","-0.34%"
"Mar 05, 2019","15.132","15.085","15.181","15.032","0.32%"
"Mar 04, 2019","15.084","15.225","15.310","15.045","-0.85%"
"Mar 01, 2019","15.213","15.600","15.662","15.139","-2.52%"
"Feb 28, 2019","15.606","15.741","15.845","15.566","-0.86%"
"Feb 27, 2019","15.741","15.935","15.959","15.682","-1.22%"
"Feb 26, 2019","15.936","15.892","15.948","15.783","0.28%"
"Feb 25, 2019","15.891","15.926","16.016","15.837","-0.18%"
"Feb 22, 2019","15.919","15.812","15.998","15.785","0.65%"
