Date,Open,High,Low,Close,Adj Close,Volume
2019-10-24,16380.799805,16412.099609,16332.500000,16369.299805,16369.299805,167159100
2019-10-25,16369.799805,16425.000000,16356.500000,16404.500000,16404.500000,173518300
2019-10-28,16434.400391,16453.199219,16387.500000,16387.500000,16387.500000,162175300
2019-10-29,16330.900391,16454.099609,16315.599609,16418.099609,16418.099609,178116500
2019-10-30,16412.500000,16501.500000,16373.500000,16501.400391,16501.400391,160008300
2019-10-31,16473.300781,16483.199219,16409.500000,16483.199219,16483.199219,222279500
2019-11-01,16537.699219,16608.000000,16534.900391,16594.099609,16594.099609,201175400
2019-11-04,16646.099609,16681.599609,16642.500000,16669.800781,16669.800781,244774900
2019-11-05,16663.900391,16696.800781,16660.300781,16681.900391,16681.900391,229381500
2019-11-06,16693.000000,16766.599609,16666.900391,16745.599609,16745.599609,217181200
2019-11-07,16797.300781,16834.400391,16788.599609,16805.800781,16805.800781,242580400
2019-11-08,16795.699219,16879.699219,16795.699219,16877.400391,16877.400391,207483800
2019-11-11,16834.800781,16895.099609,16819.900391,16882.800781,16882.800781,153122700
2019-11-12,16898.099609,16927.500000,16884.800781,16909.400391,16909.400391,230960400
2019-11-13,16891.599609,16987.300781,16880.699219,16958.000000,16958.000000,184507900
2019-11-14,16959.900391,16984.099609,16939.099609,16972.199219,16972.199219,166391500
2019-11-15,16982.699219,17036.000000,16978.000000,17028.500000,17028.500000,189379400
2019-11-18,17003.800781,17025.099609,16994.500000,17025.099609,17025.099609,205541900
2019-11-19,17033.900391,17033.900391,16963.900391,17011.400391,17011.400391,224995000
2019-11-20,16992.099609,17040.599609,16962.599609,17005.800781,17005.800781,238346700
2019-11-21,17019.500000,17019.500000,16950.800781,16999.199219,16999.199219,236455800
2019-11-22,17012.500000,17012.500000,16935.699219,16954.800781,16954.800781,199534600
2019-11-25,16980.599609,17048.500000,16972.699219,17032.900391,17032.900391,218539900
2019-11-26,17016.900391,17048.199219,16975.699219,17035.900391,17035.900391,327576100
2019-11-27,17046.599609,17104.300781,17023.300781,17100.599609,17100.599609,176184000
2019-11-28,17086.800781,17120.900391,17077.800781,17114.500000,17114.500000,63774100
2019-11-29,17099.199219,17117.199219,17040.199219,17040.199219,17040.199219,155880500
2019-12-02,17060.900391,17060.900391,16930.400391,16981.500000,16981.500000,198659100
2019-12-03,16900.300781,16908.500000,16853.199219,16892.199219,16892.199219,220648800
2019-12-04,16909.300781,16957.900391,16893.400391,16897.300781,16897.300781,206239700
2019-12-05,16886.800781,16886.800781,16817.000000,16854.900391,16854.900391,227230800
2019-12-06,16937.400391,17023.300781,16930.000000,16997.000000,16997.000000,183338400
2019-12-09,16986.699219,17003.400391,16934.699219,16950.900391,16950.900391,194556800
2019-12-10,16947.099609,16967.500000,16906.599609,16950.699219,16950.699219,187213300
2019-12-11,16968.199219,17006.000000,16915.199219,16939.599609,16939.599609,191719000
2019-12-12,16951.599609,17031.900391,16946.199219,16946.900391,16946.900391,242569600
2019-12-13,16956.099609,17036.800781,16930.000000,17003.099609,17003.099609,296508900
2019-12-16,17043.800781,17095.500000,17036.099609,17056.400391,17056.400391,205035700
2019-12-17,17065.699219,17088.000000,17032.300781,17075.199219,17075.199219,206814500
2019-12-18,17047.000000,17051.699219,17004.500000,17032.000000,17032.000000,248873100
2019-12-19,17036.699219,17079.000000,17015.400391,17064.000000,17064.000000,207784300
2019-12-20,17078.699219,17166.000000,17078.699219,17118.400391,17118.400391,465801000
2019-12-23,17149.000000,17166.400391,17102.300781,17128.699219,17128.699219,162520400
2019-12-24,17132.800781,17180.199219,17095.199219,17180.199219,17180.199219,93195000
2019-12-27,17216.199219,17230.599609,17145.000000,17168.199219,17168.199219,134796700
2019-12-30,17159.599609,17159.599609,17066.599609,17098.599609,17098.599609,128084900
2019-12-31,17052.400391,17079.500000,17027.400391,17063.400391,17063.400391,155098600
2020-01-02,17131.599609,17164.599609,17043.500000,17100.000000,17100.000000,156213500
2020-01-03,17054.800781,17105.699219,17033.199219,17066.099609,17066.099609,185492100
2020-01-06,17042.300781,17105.500000,17041.199219,17105.500000,17105.500000,195351800
2020-01-07,17119.599609,17178.000000,17110.300781,17168.099609,17168.099609,171935800
2020-01-08,17172.699219,17229.900391,17164.599609,17167.800781,17167.800781,246980100
2020-01-09,17205.900391,17255.500000,17201.300781,17235.599609,17235.599609,222501200
2020-01-10,17223.199219,17254.099609,17187.199219,17234.500000,17234.500000,192514100
2020-01-13,17237.599609,17301.800781,17198.900391,17293.400391,17293.400391,268086800
2020-01-14,17288.599609,17356.500000,17281.300781,17352.900391,17352.900391,235495600
2020-01-15,17364.800781,17421.699219,17345.099609,17415.199219,17415.199219,207645200
2020-01-16,17443.500000,17489.599609,17438.500000,17484.800781,17484.800781,261420600
2020-01-17,17507.699219,17572.199219,17502.400391,17559.000000,17559.000000,224673300
2020-01-20,17548.099609,17620.199219,17538.400391,17597.400391,17597.400391,111821100
2020-01-21,17551.500000,17589.500000,17536.300781,17572.300781,17572.300781,241563100
2020-01-22,17570.300781,17666.500000,17558.000000,17599.900391,17599.900391,213329700
2020-01-23,17564.800781,17621.800781,17540.800781,17621.800781,17621.800781,330914300
2020-01-24,17629.400391,17646.400391,17514.699219,17565.300781,17565.300781,193689100
2020-01-27,17376.800781,17466.099609,17360.000000,17442.500000,17442.500000,203774000
2020-01-28,17475.000000,17519.000000,17456.099609,17500.900391,17500.900391,198139800
2020-01-29,17547.500000,17561.900391,17496.699219,17511.800781,17511.800781,169412800
2020-01-30,17429.599609,17502.900391,17395.900391,17490.599609,17490.599609,191070300
2020-01-31,17442.300781,17450.699219,17272.699219,17318.500000,17318.500000,239157000
2020-02-03,17351.000000,17441.599609,17351.000000,17379.800781,17379.800781,196331500
2020-02-04,17504.599609,17548.800781,17493.800781,17512.699219,17512.699219,235045300
2020-02-05,17629.400391,17674.000000,17606.099609,17651.599609,17651.599609,223399700
2020-02-06,17686.099609,17758.500000,17670.599609,17757.500000,17757.500000,199327500
2020-02-07,17705.400391,17716.699219,17633.000000,17655.500000,17655.500000,209827800
2020-02-10,17646.599609,17743.599609,17646.599609,17740.599609,17740.599609,210735600
2020-02-11,17783.599609,17822.199219,17769.300781,17777.099609,17777.099609,199302100
2020-02-12,17873.099609,17873.099609,17812.000000,17832.900391,17832.900391,246203500
2020-02-13,17764.099609,17829.199219,17750.800781,17821.199219,17821.199219,255696600
2020-02-14,17811.300781,17848.500000,17798.599609,17848.400391,17848.400391,222706800
2020-02-18,17818.900391,17871.300781,17812.500000,17858.300781,17858.300781,294361000
2020-02-19,17887.599609,17933.199219,17851.300781,17925.400391,17925.400391,215953000
2020-02-20,17911.599609,17970.500000,17860.599609,17944.099609,17944.099609,248798000
2020-02-21,17936.500000,17949.800781,17833.099609,17843.500000,17843.500000,271260900
2020-02-24,17608.900391,17608.900391,17463.099609,17562.699219,17562.699219,310120500
2020-02-25,17560.500000,17586.800781,17124.900391,17177.400391,17177.400391,303245600
2020-02-26,17140.900391,17304.599609,17029.900391,17041.900391,17041.900391,303632000
2020-02-27,16803.400391,16816.199219,16456.800781,16717.400391,16717.400391,232685900
2020-02-28,16184.400391,16276.900391,15896.400391,16263.099609,16263.099609,590219300
2020-03-02,16325.000000,16566.699219,16166.299805,16553.300781,16553.300781,374721500
2020-03-03,16674.900391,16798.199219,16378.299805,16423.599609,16423.599609,393127900
2020-03-04,16659.900391,16779.500000,16539.400391,16779.500000,16779.500000,273718600
2020-03-05,16541.599609,16684.900391,16456.699219,16554.000000,16554.000000,313012300
2020-03-06,16222.099609,16261.500000,16015.799805,16175.000000,16175.000000,374703800
2020-03-09,15221.799805,15240.299805,14498.299805,14514.200195,14514.200195,559227400
2020-03-10,15019.000000,15048.799805,14481.900391,14958.099609,14958.099609,571001300
2020-03-11,14639.700195,14714.200195,14185.200195,14270.099609,14270.099609,468990900
2020-03-12,13611.799805,13611.799805,12451.099609,12508.500000,12508.500000,678332900
2020-03-13,13161.599609,13716.299805,12608.299805,13716.299805,13716.299805,669328700
2020-03-16,12648.700195,12851.700195,11883.700195,12360.400391,12360.400391,525668300
2020-03-17,12525.299805,13114.500000,12322.700195,12685.200195,12685.200195,618745200
2020-03-18,12197.700195,12500.000000,11384.099609,11721.400391,11721.400391,589437000
2020-03-19,11657.299805,12294.400391,11361.299805,12170.500000,12170.500000,531586300
2020-03-20,12335.700195,12670.799805,11809.400391,11851.799805,11851.799805,727890300
2020-03-23,11802.799805,11870.599609,11172.700195,11228.500000,11228.500000,473241500
2020-03-24,11909.700195,12588.299805,11823.900391,12571.099609,12571.099609,489332500
2020-03-25,12588.099609,13690.400391,12496.299805,13139.200195,13139.200195,553126800
2020-03-26,13154.099609,13592.299805,13138.299805,13371.200195,13371.200195,471047400
2020-03-27,12942.900391,12963.599609,12630.299805,12687.700195,12687.700195,453378000
2020-03-30,12780.900391,13048.400391,12549.000000,13038.500000,13038.500000,388246500
2020-03-31,13083.900391,13557.599609,13083.900391,13378.799805,13378.799805,498993900
2020-04-01,12966.799805,13138.099609,12814.000000,12876.400391,12876.400391,373013200
2020-04-02,12946.599609,13248.599609,12921.000000,13097.799805,13097.799805,446041600
2020-04-03,13108.299805,13171.200195,12829.400391,12938.299805,12938.299805,354988900
2020-04-06,13362.400391,13603.000000,13300.099609,13592.700195,13592.700195,386784300
2020-04-07,13937.900391,14062.700195,13571.500000,13614.099609,13614.099609,400917900
2020-04-08,13726.000000,13964.900391,13588.400391,13925.700195,13925.700195,374163600
2020-04-09,14082.000000,14329.200195,14010.700195,14166.599609,14166.599609,437301200
2020-04-13,14195.099609,14197.599609,13889.299805,14075.900391,14075.900391,326410100
2020-04-14,14239.099609,14440.900391,14110.700195,14258.400391,14258.400391,335902300
2020-04-15,14010.900391,14071.000000,13900.700195,13958.599609,13958.599609,315611500
2020-04-16,14024.799805,14056.900391,13874.700195,13899.299805,13899.299805,288395700
2020-04-17,14079.299805,14365.799805,14079.299805,14359.900391,14359.900391,374045500
2020-04-20,14132.799805,14509.799805,14075.799805,14388.299805,14388.299805,334709500
2020-04-21,14106.500000,14307.700195,13940.099609,13940.099609,13940.099609,307129600
2020-04-22,14212.900391,14305.000000,14113.000000,14288.200195,14288.200195,267174100
2020-04-23,14329.400391,14422.400391,14238.700195,14251.099609,14251.099609,311058300
2020-04-24,14337.599609,14433.700195,14242.799805,14420.400391,14420.400391,323785200
2020-04-27,14492.000000,14649.599609,14404.599609,14642.099609,14642.099609,284519400
2020-04-28,14767.599609,14856.000000,14658.700195,14798.299805,14798.299805,297711300
2020-04-29,15003.000000,15257.900391,15002.099609,15228.099609,15228.099609,371318900
2020-04-30,15114.799805,15114.799805,14767.099609,14780.700195,14780.700195,403599800
2020-05-01,14563.000000,14661.200195,14520.200195,14620.299805,14620.299805,287321200
2020-05-04,14554.200195,14745.000000,14518.099609,14745.000000,14745.000000,295093500
2020-05-05,14899.400391,14943.700195,14764.099609,14811.599609,14811.599609,297575700
